id,procurement_type,package_name,coordinates
19762939,PENGADAAN_BARANG,Human tetanus imunoglobulin inj 250 IU (i.m.),
18684634,PENGADAAN_BARANG,REF-KAMRT 200 Refill Reagen Sanitarian Kit/Paket Reagensia BMHP Surveilans Air Minum dan Pangan/Paket Reagensia Surveilans Kualitas Air Minum Rumah Tangga (KAMRT),
18606805,PENGADAAN_BARANG,Belanja Bahan-Bahan Lainnya,
21759924,PENGADAAN_BARANG,Pembesian Polos,
18821274,PEKERJAAN_KONSTRUKSI,Rambu Lalu Lintas di Nusa Penida,
18486276,PENGADAAN_BARANG,Timbunan Pilihan dari sumber galian,
18820639,PENGADAAN_BARANG,GENEXPERT Xpert MTB/RIF Ultra Assay Kit,
19765312,PENGADAAN_BARANG,Pagar Pengaman Jalan (Guardrail) Flek W Beam Guardrail,
18481637,PEKERJAAN_KONSTRUKSI,Perluasan SPAM Jaringan Perpipaan di Desa Petak Kec. Gianyar,
19756162,PENGADAAN_BARANG,Sewa Set Mainframe (LED),
21035043,PENGADAAN_BARANG,"Pemasangan Paving Block Natural Tebal 8 cm (20 x 20 cm), K225",
18490774,JASA_LAINNYA,Belanja Jasa Tenaga Kebersihan - Belanja Jasa Kebersihan,
21045631,PEKERJAAN_KONSTRUKSI,Peningkatan Jalan Lingkungan di Desa Kesiman Kertalangu,
18678377,PENGADAAN_BARANG,Perbaikan Campuran Aspal Panas,
19757559,PENGADAAN_BARANG,Amoos Amoos Mortuary Refrigerator 3(Three) Body ( Lemari Es Jenazah)  CEACA14 - CEABIS,
21040568,PENGADAAN_BARANG,Timbunan dan Pemadatan,
21030857,JASA_KONSULTANSI_BU_KONSTRUKSI,Pengawasan Pembangunan Puskesmas Denpasar Barat tahap II,
18483164,PEKERJAAN_KONSTRUKSI,Perbaikan/Pembangunan Dinding Penahan Tanah (DPT) Sekolah Desa Singapadu Tengah,
19760342,PENGADAAN_BARANG,Jasa Kebersihaan Pelaksana,
21033270,PENGADAAN_BARANG,Belanja Modal Personal Komputer SMP Negeri 16 dan SMP Negeri 17 Pengadaan Alat Praktik dan Peraga Peserta Didik SMP,
18680325,PENGADAAN_BARANG,Pasangan Batu,
21037575,PENGADAAN_BARANG,Perkerasan Blok Beton pada Trotoar dan Median (Full Warna Merah 20x20x6),
18481360,PENGADAAN_BARANG,Lapis Pondasi Agregat Kelas B,
21775903,PENGADAAN_BARANG,Cor Beton K-300 Ready Mix,
21059980,JASA_LAINNYA,Belanja Jasa yang Diberikan kepada Pihak Ketiga/Pihak Lain,
18486733,PENGADAAN_BARANG,"Tiang Bor Beton, diameter 600 mm",
18012363,PENGADAAN_BARANG,Refrigerated Blood Bag Centrifuge 6 16 KS and Accessories,
21041483,PENGADAAN_BARANG,Pek. Tulangan Besi Ulir (U39) kurang dari 12 mm,
18682391,PENGADAAN_BARANG,"Pengadaan Mebel SMPN 4 Abang, SMPN 2 Kubu, SMPN Satap Tianyar Tengah, SMPN 2 Selat, SMPN 1 Bebandem dan SMPN Satap Datah",
21044968,PENGADAAN_BARANG,Saluran berbentuk U Tipe DS 1a (dengan tutup),
18480990,PENGADAAN_BARANG,ENDO Basic Instrument Laparoscopy Set,
21052356,PENGADAAN_BARANG,PEK. Tulangan Besi Ulir (U39) Kurang Dari 12 MM,
21754911,PENGADAAN_BARANG,Banten Piodalan Saraswati Lengkap Untuk Dinas/Sekolah/Kantor,
18480502,PEKERJAAN_KONSTRUKSI,Perluasan SPAM Jaringan Perpipaan di Desa Kemenuh Kec. Sukawati,
21772966,PENGADAAN_BARANG,"Pasangan Batu, Terpasang",
18343550,PENGADAAN_BARANG,Belanja Pakaian Olahraga untuk Kontingen PORJAR Kabupaten Buleleng Tahun 2025.,
21781772,JASA_LAINNYA,Belanja Sewa Peralatan Komputer Lainnya (Sewa  proyektor/OHP/Infocus/LCD/HDTV),
21055856,PENGADAAN_BARANG,Pek. Penulangan Besi Ulir Bjts Diameter Lebih besar atau sama dengan 12 Mm,
18608372,PENGADAAN_BARANG,Pasangan Batu ( Terpasang ),
18015169,PENGADAAN_BARANG,EuroPro Medical Diode Laser System Helios,
19767929,JASA_LAINNYA,Belanja Jasa Kalibrasi,
19755792,PENGADAAN_BARANG,Belanja Modal Tanaman Koleksi,
21772903,PENGADAAN_BARANG,Lapis Fondasi Agregat Kelas B,
21774915,JASA_LAINNYA,Belanja Pakaian Paskibraka,
21057285,PENGADAAN_BARANG,Jasa Penyelenggara Acara Dan Kelengkapannya,
18362457,PENGADAAN_BARANG,Toyota Innova Zenix 2.0 V HV CVT Modelista,
21052204,PENGADAAN_BARANG,Pek. Penulangan Besi Ulir/Bjts Diameter kurang dari12 Mm,
19762994,JASA_KONSULTANSI_BU_NON_KONSTRUKSI,Belanja Uang dan/atau Jasa untuk Diberikan kepada Pihak Ketiga/Pihak Lain (Pembuatan Dokumen Amdal),
19756243,PENGADAAN_BARANG,Pemasangan 1 M2 Atap Genteng plat,
18480825,PENGADAAN_BARANG,Lapis Fondasi Agregat Kelas A,
21752872,JASA_LAINNYA,",Belanja Jasa Tenaga Administrasi",
18349715,PEKERJAAN_KONSTRUKSI,"Belanja Modal Taman (Penataan Halaman; Pekerjaan Hardscape dan Lanscape), Belanja Modal Bangunan Gedung Garasi/Pool",
18486552,PEKERJAAN_KONSTRUKSI,Pembangunan Rumah Singgah Kabupaten Gianyar,
18821181,PEKERJAAN_KONSTRUKSI,"Konsolidasi Pembangunan Pagar Sekolah, Pembangunan Padmasana, dan Penataan Halaman SD N 3 Nyalian",
18361170,PENGADAAN_BARANG,Belanja Modal Kendaraan Bermotor Khusus_Penyediaan dan Pengelolaan Sistem Penanganan Gawat Darurat Terpadu (SPGDT),
21044776,PENGADAAN_BARANG,Pek. Beton Mutu FC 21 Mpa (Slump 100 +- 25 Mm),
21751025,PENGADAAN_BARANG,Tubular Cell Electrode Package For Bluewave Dinosol 275,
21777317,PENGADAAN_BARANG,Beton struktur fc 20 Mpa,
21758018,PEKERJAAN_KONSTRUKSI,Belanja Peralatan dan Mesin-Rambu-rambu-Rambu-rambu Lalu Lintas Darat-Rambu-Rambu Lalu Lintas Darat Lainnya,
21771154,PENGADAAN_BARANG,Belanja TV Interactive,
18340905,JASA_LAINNYA,Belanja Jasa yang Diberikan kepada Pihak Ketiga/Pihak Lain,
18486318,PEKERJAAN_KONSTRUKSI,",Perbaikan/Pembangunan Dinding Penahan Tanah (DPT) Desa Celuk",
18680380,PEKERJAAN_KONSTRUKSI,Belanja Modal Bangunan Kesehatan-Belanja Pemeliharaan Gedung Pustu Lokasari,
18482163,PENGADAAN_BARANG,Mini Excavator,
19766735,PENGADAAN_BARANG,Tenaga Alih Daya (Outsourcing) Pramusaji,
21037627,PENGADAAN_BARANG,"Pemasangan Paving Block Natural tebal 8 cm (20x20) cm, K225",
21029960,PENGADAAN_BARANG,Pek. Membongkar Unsur Asli/Lama dengan Sistem Registrasi,
19761383,PENGADAAN_BARANG,Satpam Pelaksana,
21765624,PENGADAAN_BARANG,Retinol acetate/ Retinol (vitamin A)/ Vitamin A palmitate kapsul lunak 200.000 IU,
19769511,PENGADAAN_BARANG,Laston Lapis Aus (AC-WC),
